demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
44217,0,0,4116,0,0,46
84755,0,0,55,0,5,0
31305,3,2715,3902,144,25,127
65564,0,0,403,0,0,0
43554,85,2,2657,0,10,38
84754,55,3,3814,51,0,31
13606,16,7,2941,22,0,5
64456,18,0,1377,0,0,28
84756,25,0,314,0,0,0
61084,118,2,2870,44,35,4
15067,40,29,2026,22,5,74
60619,429,60434,735,378,141,705
13605,46,10,4537,60,23,84
53536,249,47,8365,97,21,165
82520,478,25,9732,121,109,3547
44221,275,887,26642,624,721,395
84757,0,0,1069,0,3,5
36009,0,603,1665,0,10,79
54458,0,0,77,6,0,1
60616,3677,13338,12022,1138,21369,1036
64457,0,0,210,0,0,0
82601,2199,482,23894,404,245,1116
35553,40,80,4145,0,6,85
84751,248,0,1524,23,15,5
15063,67,225,10415,271,100,100
65559,202,37,8355,0,6,355
13613,0,6,2003,20,39,100
60620,467,66776,608,413,197,838
82609,1206,208,16040,342,109,276
36006,0,179,1114,12,0,37
31303,0,314,1716,0,0,0
53538,1299,153,16426,378,189,309
15064,0,0,252,0,0,0
13608,0,0,1430,44,15,30
84752,83,0,775,2,0,0
30326,443,608,3479,204,651,313
61081,3688,421,16339,675,143,202
82604,1859,168,24191,269,222,701
65560,105,87,13751,106,61,398
13612,22,75,2346,6,31,205
43555,0,0,195,0,0,2
44216,37,59,9080,49,40,198
31304,0,0,0,0,0,0
54457,282,20,7651,35,28,339
84753,15,0,8,0,0,2
15065,33,190,11020,33,100,298
64458,0,0,120,0,0,0
53544,0,0,716,7,0,2
13486,0,0,724,5,0,0
84775,12,0,410,0,0,5
82412,21,0,579,0,0,5
44253,0,1,3181,0,0,19
43537,530,1202,24165,220,752,269
54474,0,23,3625,0,97,27
15112,3,1076,1897,48,53,91
85016,8771,1841,19962,1700,1041,2345
65601,0,0,597,0,1,43
13459,0,2,2240,61,63,16
82411,26,0,478,0,0,30
31331,0,2016,4555,48,0,128
64432,1,23,136,0,0,12
36022,55,652,10664,52,20,172
85017,24679,2913,7858,2464,2121,1433
13456,0,58,3839,73,67,101
15116,0,34,13854,159,203,176
53517,23,17,1658,26,13,30
35541,14,0,3216,27,1,47
60612,2863,22218,6911,1579,1415,573
82410,40,3,2031,9,25,104
43536,0,0,518,0,0,0
44254,14,62,4710,32,7,20
61104,4682,4738,7958,770,889,585
30306,434,1446,18800,491,559,617
85015,15828,3746,12784,1883,2222,2366
13460,7,50,4042,27,4,100
30307,208,2912,14423,489,691,521
53518,18,29,1255,8,2,16
13468,3,0,450,0,0,0
82421,0,0,348,3,3,0
85012,646,341,4735,276,139,421
